"HCPCS","Generic Name","Brand Name","Strength","SEER*Rx Category","Major Drug Class","Minor Drug Class","Oral (Y/N)","FDA Approval Year","FDA Discontinuation Year","CMS Effective Date","CMS Discontinuation Date","Status"
"NA","Acalabrutinib","Calquence","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","Bruton's Tyrosine Kinase (Btk) /BCR","Yes","2017","","","","In Use"
"NA","Afatinib","Gliotrif","20 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2013","","","","In Use"
"NA","Afatinib","Gliotrif","30 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2013","","","","In Use"
"NA","Afatinib","Gliotrif","40 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2013","","","","In Use"
"NA","Abemaciclib","Verzenio","50 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Abemaciclib","Verzenio","100 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Abemaciclib","Verzenio","150 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Abemaciclib","Verzenio","200 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Alectinib","Alecensa","150 mg","Chemotherapy","Tyrosine Kinase Inhibitor","ALK","Yes","2015","","","","In Use"
"NA","Altretamine","Hexalen","50 mg","Chemotherapy","Alkylating Agent","Triazines","No","1990","","","","In Use"
"J9017","Arsenic Trioxide","Trisenox","1 mg","Chemotherapy","Miscellaneous Agent","PML/RARa","No","2000","","01/01/2002 00:00:00","","In Use"
"C9012","Arsenic Trioxide","Trisenox","unspecified","Chemotherapy","Miscellaneous Agent","PML/RARa","No","2000","","01/01/2001 00:00:00","12/31/2001 00:00:00","No Longer Used"
"J9020","Asparaginase","Erwinaze","10, 000 units (I.U.)","Chemotherapy","Miscellaneous Agent","Enzyme","No","1994","","01/01/1984 00:00:00","","In Use"
"C9289","Asparaginase","Erwinaze","1,000 units (I.U.)","Chemotherapy","Miscellaneous Agent","Enzyme","No","2011","","04/04/2012 00:00:00","12/31/2014 00:00:00","No Longer Used"
"J9019","Asparaginase","Erwinaze","10, 000 units (I.U.)","Chemotherapy","Miscellaneous Agent","Enzyme","No","2011","","01/01/2013 00:00:00","","In Use"
"NA","Axitinib","Axitinib","1 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"NA","Axitinib","Axitinib","5 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"J9025","Azacitidine","Vidaza","1 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","2004","","01/01/2006 00:00:00","","In Use"
"J9032","Belinostat","Beleodaq","10 mg","Chemotherapy","Enzyme Inhibitor","HDAC","No","2014","","01/01/2016 00:00:00","","In Use"
"C9243","Bendamustine","Treanda","1 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","2008","","10/01/2008 00:00:00","12/31/2008 00:00:00","No Longer Used"
"J9033","Bendamustine","Treanda","1 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","2008","","01/01/2009 00:00:00","","In Use"
"J9034","Bendamustine","Bendeka","1 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","2008","","01/01/2017 00:00:00","","In Use"
"NA","Bexarotene","Targretin","0.01","Chemotherapy","Immunomodulator","Retinoic Acid Derivative","No","2014","","","","In Use"
"NA","Bexarotene","Targretin","75mg","Chemotherapy","Immunomodulator","Retinoic Acid Derivative","Yes","2014","","","","In Use"
"J9040","Bleomycin","Bleomycin","15 units","Chemotherapy","Antitumor Antibiotic","Carboxylic Acids and Amino Acids/Peptides","No","1973","","01/01/1984 00:00:00","","In Use"
"C9417","Bleomycin","Bleomycin","15 units","Chemotherapy","Antitumor Antibiotic","Carboxylic Acids and Amino Acids/Peptides","No","1973","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9041","Bortezomib","Velcade","0.1 mg","Chemotherapy","Proteasome Inhibitor","26S","No","2003","","01/01/2005 00:00:00","","In Use"
"S0115","Bortezomib","Velcade","3.5 mg","Chemotherapy","Proteasome Inhibitor","26S","No","2003","","01/01/2004 00:00:00","12/31/2004 00:00:00","No Longer Used"
"NA","Bosutinib","Bosulif","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2012","","","","In Use"
"NA","Bosutinib","Bosulif","500 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2012","","","","In Use"
"J0594","Busulfan","Busulfex","1 mg","Chemotherapy","Alkylating Agent","Alkylsulfonate","No","1999","","01/01/2007 00:00:00","","In Use"
"J8510","Busulfan","Myleran","2 mg","Chemotherapy","Alkylating Agent","Alkylsulfonate","Yes","1954","","01/01/2000 00:00:00","","In Use"
"NA","Brigatinib","Alunbrig","30 mg","Chemotherapy","Tyrosine Kinase Inhibitor","ALK","Yes","2017","","","","In Use"
"C9276","Cabazitaxel","Jevtana","1 mg","Chemotherapy","Antimitotic Agent","Taxane","No","2010","","01/01/2011 00:00:00","12/31/2011 00:00:00","No Longer Used"
"J9043","Cabazitaxel","Jevtana","1 mg","Chemotherapy","Antimitotic Agent","Taxane","No","2010","","01/01/2012 00:00:00","","In Use"
"NA","Cabozantinib","Cometriq","20 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"NA","Cabozantinib","Cabometyx","20 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"NA","Cabozantinib","Cabometyx","40 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"NA","Cabozantinib","Cabometyx","60 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR","Yes","2012","","","","In Use"
"J8520","Capecitabine","Xeloda","150 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","Yes","1998","","01/01/2000 00:00:00","","In Use"
"J8521","Capecitabine","Xeloda","500 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","Yes","1998","","01/01/2000 00:00:00","","In Use"
"J9045","Carboplatin","Carboplatin","50 mg","Chemotherapy","Alkylating Agent","Platinum Compound","No","1989","","01/01/1990 00:00:00","","In Use"
"J9047","Carfilzomib","Kyprolis","1 mg","Chemotherapy","Proteasome Inhibitor","20S","No","2012","","04/01/2014 00:00:00","","In Use"
"C9295","Carfilzomib","Kyprolis","1 mg","Chemotherapy","Proteasome Inhibitor","20S","No","2012","","01/01/2013 00:00:00","12/31/2013 00:00:00","No Longer Used"
"C9437","Carmustine","Bicnu","100 mg","Chemotherapy","Alkylating Agent","Nitrosourea","No","1977","","01/01/2005 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9050","Carmustine","Bicnu","100 mg","Chemotherapy","Alkylating Agent","Nitrosourea","No","1977","","01/01/1984 00:00:00","","In Use"
"NA","Ceritinib","Zykadia","150 mg","Chemotherapy","Tyrosine Kinase Inhibitor","ALK","Yes","2014","","","","In Use"
"S0172","Chlorambucil","Leukeran","2 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","Yes","1957","","01/01/2002 00:00:00","","In Use"
"J9060","Cisplatin","Platinol, Platinol-AQ","10 mg","Chemotherapy","Alkylating Agent","Platinum Compound","No","1978","","01/01/1984 00:00:00","","In Use"
"J9062","Cisplatin","Platinol, Platinol-AQ","50 mg","Chemotherapy","Alkylating Agent","Platinum Compound","No","1978","","01/01/1982 00:00:00","12/31/2010 00:00:00","No Longer Used"
"C9418","Cisplatin","Platinol, Platinol-AQ","10 mg","Chemotherapy","Alkylating Agent","Platinum Compound","No","1978","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9065","Cladribine","Cladribine","per 1 mg","Chemotherapy","Antimetabolite","Purine Analog","No","1993","","01/01/1995 00:00:00","","In Use"
"J9027","Clofarabine","Clolar","1 mg","Chemotherapy","Antimetabolite","Purine Analog","No","2004","","01/01/2006 00:00:00","","In Use"
"NA","cobimetinib","Cotellic","20 mg","Chemotherapy","MAPK/MEK Inhibitor","BRAF","Yes","2015","","","","In Use"
"NA","Crizotinib","Xalkori","200 mg","Chemotherapy","Tyrosine Kinase Inhibitor","ALK","Yes","2011","","","","In Use"
"NA","Crizotinib","Xalkori","250 mg","Chemotherapy","Tyrosine Kinase Inhibitor","ALK","Yes","2011","","","","In Use"
"J9091","Cyclophosphamide","Cyclophosphamide","1 g","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","01/01/2011 00:00:00","No Longer Used"
"J9070","Cyclophosphamide","Cyclophosphamide","100 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1984 00:00:00","","In Use"
"J9092","Cyclophosphamide","Cyclophosphamide","2 g","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","","In Use"
"J9080","Cyclophosphamide","Cyclophosphamide","200 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9090","Cyclophosphamide","Cyclophosphamide","500 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"C9420","Cyclophosphamide","Cyclophosphamide","100 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"C9421","Cyclophosphamide","Cyclophosphamide lyophilized","100 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9093","Cyclophosphamide","Cyclophosphamide lyophilized","100 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1988 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9094","Cyclophosphamide","Cyclophosphamide lyophilized","200 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","","In Use"
"J9095","Cyclophosphamide","Cyclophosphamide lyophilized","500 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9096","Cyclophosphamide","Cyclophosphamide lyophilized","1 g","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9097","Cyclophosphamide","Cyclophosphamide lyophilized","2 g","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1959","","01/01/1994 00:00:00","","In Use"
"NA","Cyclophosphamide","Cyclophosphamide oral","50  mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","Yes","1959","","","","In Use"
"J8530","Cyclophosphamide","Cyclophosphamide oral","25 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","Yes","1959","","01/01/1995 00:00:00","","In Use"
"J9100","Cytarabine","Cytarabine","100 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1998","","01/01/1986 00:00:00","","In Use"
"C9422","Cytarabine","Cytarabine","100 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1998","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9110","Cytarabine","Cytarabine","500 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1998","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9098","Cytarabine","Cytarabine Liposome","10 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1999","","01/01/2004 00:00:00","","In Use"
"NA","Dabrafenib","Tafinlar","50 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BRAF","Yes","2013","","01/01/2004 00:00:00","","In Use"
"NA","Dabrafenib","Tafinlar","75 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BRAF","Yes","2013","","01/01/2004 00:00:00","","In Use"
"J9130","Dacarbazine","Dacarbazine","100 mg","Chemotherapy","Alkylating Agent","Purine Analog","No","1975","","01/01/1986 00:00:00","","In Use"
"J9140","Dacarbazine","Dacarbazine","200 mg","Chemotherapy","Alkylating Agent","Purine Analog","No","1975","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"C9423","Dacarbazine","Dacarbazine","100 mg","Chemotherapy","Alkylating Agent","Purine Analog","No","1975","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9120","Dactinomycin","Cosmegen","0.5 mg","Chemotherapy","Antitumor Antibiotic","Carboxylic Acids and Amino Acids/Peptides","No","1964","","01/01/1984 00:00:00","","In Use"
"NA","Dasatinib","Sprycel","20 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2006","","","","In Use"
"NA","Dasatinib","Sprycel","50 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2006","","","","In Use"
"NA","Dasatinib","Sprycel","70 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2006","","","","In Use"
"NA","Dasatinib","Sprycel","80 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2006","","","","In Use"
"NA","Dasatinib","Sprycel","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2006","","","","In Use"
"NA","Dasatinib","Sprycel","140 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2006","","","","In Use"
"J9151","Daunorubicin","DaunoXome","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1996","","01/01/1999 00:00:00","","In Use"
"J9150","Daunorubicin","Daunorubicin Hydrochloride","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1996","","01/01/1986 00:00:00","","In Use"
"C9424","Daunorubicin","Daunorubicin Hydrochloride","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1996","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J0894","Decitabine","Dacogen","1 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","2006","","01/01/2007 00:00:00","","In Use"
"J9171","Docetaxel","Taxotere","1 mg","Chemotherapy","Antimitotic Agent","Taxane","No","1996","","01/01/2010 00:00:00","","In Use"
"J9170","Docetaxel","Taxotere","20 mg","Chemotherapy","Antimitotic Agent","Taxane","No","1996","","01/01/1998 00:00:00","01/01/2010 00:00:00","No Longer Used"
"J9000","Doxorubicin","Adriamycin","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1989","","01/01/1984 00:00:00","","In Use"
"C9415","Doxorubicin","Adriamycin","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1989","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9002","Doxorubicin","Doxil","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1995","","01/01/2013 00:00:00","12/31/2013 00:00:00","No Longer Used"
"Q2048","Doxorubicin","Doxil","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1995","","07/01/2012 00:00:00","12/31/2013 00:00:00","No Longer Used"
"Q2049","Doxorubicin","Doxil","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1995","","07/01/2012 00:00:00","","In Use"
"Q2050","Doxorubicin","Doxil","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1995","","07/01/2013 00:00:00","","In Use"
"J9001","Doxorubicin","Doxil","10 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1995","","01/01/2000 00:00:00","12/31/2012 00:00:00","No Longer Used"
"NA","Enasidenib mesylate","Idhifa","50 mg","Chemotherapy","Enzyme Inhibitor","IDH2","Yes","2017","","","","In Use"
"NA","Enasidenib mesylate","Idhifa","100 mg","Chemotherapy","Enzyme Inhibitor","IDH2","Yes","2017","","","","In Use"
"J9178","Epirubicin","Epirubicin","2 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1999","","01/01/2004 00:00:00","","In Use"
"J9180","Epirubicin","Epirubicin","50 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1999","","01/01/2001 00:00:00","12/31/2003 00:00:00","No Longer Used"
"J9179","Eribulin mesylate","Halaven","0.1 mg","Chemotherapy","Antimitotic Agent","Furopyrans","No","2010","","01/01/2012 00:00:00","","In Use"
"C9280","Eribulin mesylate","Halaven","1 mg","Chemotherapy","Antimitotic Agent","Furopyrans","No","2010","","04/01/2011 00:00:00","12/31/2011 00:00:00","No Longer Used"
"NA","Erlotinib","Tarceva","25 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2004","","","","In Use"
"NA","Erlotinib","Tarceva","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2004","","","","In Use"
"NA","Erlotinib","Tarceva","150 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2004","","","","In Use"
"NA","Estramustine Phosphate Sodium","Emcyt","140 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","Yes","1981","","","","In Use"
"J9181","Etoposide","Toposar, Etopophos","10 mg","Chemotherapy","Plant Alkaloid","Epipodophyllotoxins","No","1983","","01/01/1987 00:00:00","","In Use"
"J9182","Etoposide","Toposar, Etopophos","100 mg","Chemotherapy","Plant Alkaloid","Epipodophyllotoxins","No","1983","","01/01/1987 00:00:00","12/31/2008 00:00:00","No Longer Used"
"C9425","Etoposide","Toposar, Etopophos","10 mg","Chemotherapy","Plant Alkaloid","Epipodophyllotoxins","No","1983","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J8560","Etoposide","Toposar","50 mg","Chemotherapy","Plant Alkaloid","Epipodophyllotoxins","Yes","1986","","01/01/1995 00:00:00","","In Use"
"C9414","Etoposide","Toposar","50 mg","Chemotherapy","Plant Alkaloid","Epipodophyllotoxins","Yes","1986","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J8561","Everolimus","Afinitor, Afinitor Disperz","0.25 mg","Chemotherapy","Enzyme Inhibitor","mTOR","Yes","2009","","01/01/2012 00:00:00","12/31/2012 00:00:00","No Longer Used"
"J7527","Everolimus","Afinitor, Afinitor Disperz","0.25 mg","Chemotherapy","Enzyme Inhibitor","mTOR","Yes","2009","","01/01/2013 00:00:00","","In Use"
"J9200","Floxuridine","Floxuridine","500 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1970","","01/01/1984 00:00:00","","In Use"
"C9426","Floxuridine","Floxuridine","500 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1970","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9185","Fludarabine","Fludara","50 mg","Chemotherapy","Antimetabolite","Purine Analog","No","1991","","01/01/1994 00:00:00","","In Use"
"C9262","Fludarabine","Fludara","1 mg","Chemotherapy","Antimetabolite","Purine Analog","No","2008","","04/01/2010 00:00:00","06/30/2010 00:00:00","No Longer Used"
"J8562","Fludarabine","Fludara","10 mg","Chemotherapy","Antimetabolite","Purine Analog","No","2008","","01/01/2011 00:00:00","01/01/2014 00:00:00","No Longer Used"
"Q2025","Fludarabine","Fludara","1 mg","Chemotherapy","Antimetabolite","Purine Analog","No","2008","","07/01/2010 00:00:00","12/31/2010 00:00:00","No Longer Used"
"NA","Fluorouracil","Carac, Efudex","topical, varies","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1970","","","","In Use"
"J9190","Fluorouracil","Adrucil","500 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1962","","01/01/1984 00:00:00","","In Use"
"J8565","Gefitinib","Iressa","250 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2015","","01/01/2005 00:00:00","","In Use"
"J9201","Gemcitabine","Gemzar","200 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","No","1996","","01/01/1998 00:00:00","","In Use"
"S0176","Hydroxyurea","Hydrea","500 mg","Chemotherapy","Miscellaneous Agent","Antimetabolite/Organooxygen","Yes","1967","","01/01/2002 00:00:00","","In Use"
"NA","Ibrutinib","Imbruvica","140 mg","Chemotherapy","Tyrosine Kinase Inhibitor","Bruton's Tyrosine Kinase (Btk) /BCR","Yes","2014","","","","In Use"
"J9211","Idarubicin","Idamycin","5 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1990","","01/01/1993 00:00:00","","In Use"
"C9429","Idarubicin","Idamycin","5 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1990","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"NA","idelalisib","Zydelig","100 mg","Chemotherapy","Enzyme Inhibitor","PI3K","Yes","2014","","","","In Use"
"NA","idelalisib","Zydelig","150 mg","Chemotherapy","Enzyme Inhibitor","PI3K","Yes","2014","","","","In Use"
"C9427","Ifosfamide","ifex","1 g","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1988","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9208","Ifosfamide","Ifosfamide","1 g","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1988","","01/01/1999 00:00:00","","In Use"
"NA","Imatinib mesylate","Gleevec","400 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2001","","","","In Use"
"S0088","Imatinib mesylate","Gleevec","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2001","","01/01/2002 00:00:00","","In Use"
"J9206","Irinotecan","Camptosar","20 mg","Chemotherapy","Topoisomerase I Inhibitor","Campothecin Analogs","No","1996","","01/01/1998 00:00:00","","In Use"
"C9474","Irinotecan","Onivyde","1 mg","Chemotherapy","Topoisomerase I Inhibitor","Campothecin Analogs","No","1996","","01/01/2016 00:00:00","","In Use"
"C9240","ixabepilone","Ixempra","1mg","Chemotherapy","Antitumor Antibiotic","Epothilones","No","2007","","01/01/2008 00:00:00","12/31/2013 00:00:00","No Longer Used"
"J9207","ixabepilone","Ixempra","1mg","Chemotherapy","Antitumor Antibiotic","Epothilones","No","2007","","01/01/2009 00:00:00","","In Use"
"NA","ixazomib","Ninlaro","2.3 mg","Chemotherapy","Proteasome Inhibitor","20S","Yes","2015","","","","In Use"
"NA","ixazomib","Ninlaro","3 mg","Chemotherapy","Proteasome Inhibitor","20S","Yes","2015","","","","In Use"
"NA","ixazomib","Ninlaro","4 mg","Chemotherapy","Proteasome Inhibitor","20S","Yes","2015","","","","In Use"
"NA","Lapatinib","Tykerb","250 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR/HER2","Yes","2007","","","","In Use"
"NA","lenvatinib","Lenvima","4 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FGF, PDGFR,KIT,RET","Yes","2015","","","","In Use"
"NA","lenvatinib","Lenvima","10 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FGF, PDGFR,KIT,RET","Yes","2015","","","","In Use"
"S0178","Lomustine","Ceenu, Gleostine","10 mg","Chemotherapy","Alkylating Agent","Nitrosourea","Yes","1976","","01/01/2002 00:00:00","","In Use"
"J9230","Mechlorethamine","Mustargen","10 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1949","","01/01/1986 00:00:00","","In Use"
"J9245","Melphalan","Melphalan","50 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","No","1992","","01/01/1995 00:00:00","","In Use"
"J8600","Melphalan","Melphalan, Alkeran","2 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard","Yes","1992","","01/01/1995 00:00:00","","In Use"
"S0108","Mercaptopurine","Mercaptopurine","50 mg","Chemotherapy","Antimetabolite","Purine Analog","Yes","1953","","04/01/2002 00:00:00","","In Use"
"J8610","Methotrexate","Trexall","2.5 mg","Chemotherapy","Antimetabolite","Folic Acid Analog","Yes","1953","","01/01/1995 00:00:00","","In Use"
"J9250","Methotrexate","Trexall","5 mg","Chemotherapy","Antimetabolite","Folic Acid Analog","Yes","1953","","01/01/1994 00:00:00","","In Use"
"J9260","Methotrexate","Trexall","50 mg","Chemotherapy","Antimetabolite","Folic Acid Analog","No","1953","","01/01/1984 00:00:00","","In Use"
"NA","Midostaurin","Rydapt","25 mg","Chemotherapy","Tyrosine Kinase Inhibitor","FLT3","Yes","2017","","","","In Use"
"J9290","Mitomycin","Mitosol","20 mg","Chemotherapy","Antitumor Antibiotic","Alkylating Agent/ Mitomycin","No","1981","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9291","Mitomycin","Mitosol","40 mg","Chemotherapy","Antitumor Antibiotic","Alkylating Agent/ Mitomycin","No","1981","","01/01/1989 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9280","Mitomycin","Mitosol","5 mg","Chemotherapy","Antitumor Antibiotic","Alkylating Agent/ Mitomycin","No","1981","","01/01/1986 00:00:00","","In Use"
"C9432","Mitomycin","Mitosol","5 mg","Chemotherapy","Antitumor Antibiotic","Alkylating Agent/ Mitomycin","No","1981","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
