"HCPCS","Generic Name","Brand Name","Strength","SEER*Rx Category","Major Drug Class","Minor Drug Class","Oral (Y/N)","FDA Approval Year","FDA Discontinuation Year","CMS Effective Date","CMS Discontinuation Date","Status"
"NA","Mitotane","Lysodren","unspecified","Chemotherapy","Miscellaneous Agent","Adrenal Suppressant","Yes","1970","","","","In Use"
"J9293","Mitoxantrone","Mitoxantrone","pr 5 mg","Chemotherapy","Antitumor Antibiotic","Anthracenedione","No","1987","","01/01/1990 00:00:00","","In Use"
"J9261","Nelarabine","Arranon","50 mg","Chemotherapy","Antimetabolite","Purine Analog","No","2005","","01/01/2007 00:00:00","","In Use"
"NA","Neratinib","Nerlynx","40 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR/HER2","Yes","2017","","","","In Use"
"NA","Nilotinib","Tasigna","150 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2007","","","","In Use"
"NA","Nilotinib","Tasigna","200 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2007","","","","In Use"
"NA","Nintedanib","Ofev","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FGF, PDGFR, FLT3","Yes","2014","","","","In Use"
"NA","Nintedanib","Ofev","150 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FGF, PDGFR, FLT3","Yes","2014","","","","In Use"
"NA","Niraparib","Zejula","100 mg","Chemotherapy","Enzyme Inhibitor","PARP","Yes","2017","","","","In Use"
"NA","olaparib","Lynparza","50 mg","Chemotherapy","Enzyme Inhibitor","PARP","Yes","2014","","","","In Use"
"C9297","Omacetaxine","Synribo","0.01 mg","Chemotherapy","Plant Alkaloid","BCR-ABL","No","2012","","04/01/2013 00:00:00","12/31/2013 00:00:00","No Longer Used"
"J9262","Omacetaxine","Synribo","0.01 mg","Chemotherapy","Plant Alkaloid","BCR-ABL","No","2012","","01/01/2014 00:00:00","","In Use"
"NA","Osimertinib","Tagrisso","40 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2015","","","","In Use"
"NA","Osimertinib","Tagrisso","80 mg","Chemotherapy","Tyrosine Kinase Inhibitor","EGFR","Yes","2015","","","","In Use"
"C9205","Oxaliplatin","Eloxatin","unspecified","Chemotherapy","Alkylating Agent","Platinum Compound","No","2002","","07/01/2003 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9263","Oxaliplatin","Eloxatin","0.5 mg","Chemotherapy","Alkylating Agent","Platinum Compound","No","2002","","01/01/2004 00:00:00","","In Use"
"C9431","Paclitaxel","Taxol","30 mg","Chemotherapy","Antimitotic Agent","Taxane","No","1992","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9264","Paclitaxel","Abraxane, protein bound","1 mg","Chemotherapy","Antimitotic Agent","Taxane","No","1992","","01/01/2006 00:00:00","","In Use"
"J9265","Paclitaxel","Taxol","30 mg","Chemotherapy","Antimitotic Agent","Taxane","No","1992","","01/01/1994 00:00:00","12/31/2014 00:00:00","No Longer Used"
"C9127","Paclitaxel","Taxol","1 mg","Chemotherapy","Antimitotic Agent","Taxane","No","1992","","01/01/2005 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9267","Paclitaxel","Taxol","1 mg","Chemotherapy","Antimitotic Agent","Taxane","No","1992","","01/01/2015 00:00:00","","In Use"
"NA","Palbociclib","Ibrance","75 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2015","","","","In Use"
"NA","Palbociclib","Ibrance","100 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2015","","","","In Use"
"NA","Palbociclib","Ibrance","125 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2015","","","","In Use"
"NA","Panobinostat","Farydak","10 mg","Chemotherapy","Enzyme Inhibitor","HDAC","Yes","2015","","","","In Use"
"NA","Panobinostat","Farydak","15 mg","Chemotherapy","Enzyme Inhibitor","HDAC","Yes","2015","","","","In Use"
"NA","Panobinostat","Farydak","20 mg","Chemotherapy","Enzyme Inhibitor","HDAC","Yes","2015","","","","In Use"
"NA","Pazopanib","Votrient","200 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FGF, PDGFR,KIT, Lck, FMS","Yes","2009","","","","In Use"
"J9266","Pegaspargase","Oncaspar","unspecified","Chemotherapy","Miscellaneous Agent","Enzyme","No","1994","","01/01/1996 00:00:00","","In Use"
"C9213","Pemetrexed","Alimta","10 mg","Chemotherapy","Antimetabolite","Folic Acid Analog","No","2004","","02/04/2004 00:00:00","12/31/2004 00:00:00","No Longer Used"
"J9305","Pemetrexed","Alimta","10 mg","Chemotherapy","Antimetabolite","Folic Acid Analog","No","2004","","01/01/2005 00:00:00","","In Use"
"J9268","Pentostatin","Nipent","10 mg","Chemotherapy","Antimetabolite","Purine Analog","No","1991","","01/01/1994 00:00:00","","In Use"
"J9270","Plicamycin","Plicamycin","2.5 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1970","2000","01/01/1984 00:00:00","","In Use"
"NA","Ponatinib","Iclusig","45 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2012","","","","In Use"
"NA","Ponatinib","Iclusig","15 mg","Chemotherapy","Tyrosine Kinase Inhibitor","BCR-ABL","Yes","2012","","","","In Use"
"J9600","Porfimer","Photofrin","75 mg","Chemotherapy","Photosensitizing Agent","Cytotoxin","No","1995","","01/01/1998 00:00:00","","In Use"
"C9259","Pralatrexate","Folotyn","1 mg","Chemotherapy","Antimetabolite","Folic Acid Analog","No","2009","","04/01/2010 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9307","Pralatrexate","Folotyn","1 mg","Chemotherapy","Antimetabolite","Folic Acid Analog","No","2009","","01/01/2011 00:00:00","","In Use"
"S0182","Procarbazine","Matulane","50 mg","Chemotherapy","Alkylating Agent","Benzamide","Yes","1969","","01/01/2002 00:00:00","","In Use"
"NA","Regorafenib","Stivarga","40 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FGF, PDGFR,KIT,RET,TIE2,DDR2,TrkQ,RAF,BRAF,SAPK2, PTK, Abl","Yes","2012","","","","In Use"
"NA","Ribociclib","Kisqali","200 mg","Chemotherapy","Cyclin Dependent Kinase Inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"NA","Ribociclib and letrozole","Kisqali Femara Co-pack","200 mg/ 2.5 mg","Chemotherapy, Hormonal Therapy","Cyclin dependent kinase inhibitor/ aromatase inhibitor","CDK 4/6","Yes","2017","","","","In Use"
"C9265","Romidepsin","Istodax","1 mg","Chemotherapy","Enzyme Inhibitor","HDAC","No","2009","","07/01/2010 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9315","Romidepsin","Istodax","1 mg","Chemotherapy","Enzyme Inhibitor","HDAC","No","2009","","01/01/2011 00:00:00","09/27/2021 00:00:00","No Longer Used"
"NA","Rucaparib","Rubraca","200 mg","Chemotherapy","Enzyme Inhibitor","PARP","Yes","2017","","","","In Use"
"NA","Rucaparib","Rubraca","250 mg","Chemotherapy","Enzyme Inhibitor","PARP","Yes","2017","","","","In Use"
"NA","Rucaparib","Rubraca","300 mg","Chemotherapy","Enzyme Inhibitor","PARP","Yes","2017","","","","In Use"
"NA","Ruxolitinib","Jakafi","5 mg","Chemotherapy","Enzyme Inhibitor","JAK 1/2","Yes","2011","","","","In Use"
"NA","Ruxolitinib","Jakafi","10 mg","Chemotherapy","Enzyme Inhibitor","JAK 1/2","Yes","2011","","","","In Use"
"NA","Ruxolitinib","Jakafi","15 mg","Chemotherapy","Enzyme Inhibitor","JAK 1/2","Yes","2011","","","","In Use"
"NA","Ruxolitinib","Jakafi","20 mg","Chemotherapy","Enzyme Inhibitor","JAK 1/2","Yes","2011","","","","In Use"
"NA","Ruxolitinib","Jakafi","25 mg","Chemotherapy","Enzyme Inhibitor","JAK 1/2","Yes","2011","","","","In Use"
"NA","sonidegib","odozmo","200 mg","Chemotherapy","Hedgehog Pathway Inhibitor","SMO","Yes","2015","","","","In Use"
"NA","Sorafenib","Nexavar","200 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FGF, PDGFR,KIT,RET, CRAF, BRAF","Yes","2005","","","","In Use"
"J9320","Streptozocin","Zanosar","1 g","Chemotherapy","Alkylating Agent","Nitrosourea","No","1982","","01/01/1986 00:00:00","","In Use"
"NA","Sunitinib malate","Sutent","12.5 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FLT, PDGFR,KIT, RET, CSF","Yes","2006","","","","In Use"
"NA","Sunitinib malate","Sutent","25 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FLT, PDGFR,KIT, RET, CSF","Yes","2006","","","","In Use"
"NA","Sunitinib malate","Sutent","37.5 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FLT, PDGFR,KIT, RET, CSF","Yes","2006","","","","In Use"
"NA","Sunitinib malate","Sutent","50 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, FLT, PDGFR,KIT, RET, CSF","Yes","2006","","","","In Use"
"J8700","Temozolomide","Temodar","5 mg","Chemotherapy","Alkylating Agent","Tetrazine","Yes","1999","","01/01/2001 00:00:00","","In Use"
"J9328","Temozolomide","Temodar","1 mg","Chemotherapy","Alkylating Agent","Tetrazine","No","1999","","01/01/2010 00:00:00","","In Use"
"C9253","Temozolomide","Temodar","1 mg","Chemotherapy","Alkylating Agent","Tetrazine","No","1999","","01/01/2010 00:00:00","","In Use"
"C1086","Temozolomide","Temodar","5 mg","Chemotherapy","Alkylating Agent","Tetrazine","Yes","1999","","01/01/2010 00:00:00","","In Use"
"J9330","Temsirolimus","Torisel","1 mg","Chemotherapy","Enzyme Inhibitor","mTOR","No","2007","","01/01/2009 00:00:00","","In Use"
"C9239","Temsirolimus","Torisel","1 mg","Chemotherapy","Enzyme Inhibitor","mTOR","No","2007","","01/01/2008 00:00:00","12/31/2008 00:00:00","No Longer Used"
"Q2017","Teniposide","Teniposide","50 mg","Chemotherapy","Plant Alkaloid","Epipodophyllotoxins","No","1992","","07/01/2000 00:00:00","","In Use"
"NA","Thioguanine","Tabloid","40 mg","Chemotherapy","Antimetabolite","Purine Analog","Yes","1966","","","","In Use"
"J9340","Thiotepa","Tepadina","15 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard /Ethylenimine","No","1959","","01/01/1984 00:00:00","","In Use"
"C9433","Thiotepa","Tepadina","15 mg","Chemotherapy","Alkylating Agent","Nitrogen Mustard /Ethylenimine","No","1959","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9350","Topotecan","Hycamtin","4 mg","Chemotherapy","Topoisomerase I Inhibitor","Campothecin Analogs","No","1996","","01/01/1998 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J8705","Topotecan","Hycamtin","0.25 mg","Chemotherapy","Topoisomerase I Inhibitor","Campothecin Analogs","Yes","1996","","01/01/2009 00:00:00","","In Use"
"J9351","Topotecan","Hycamtin","0.1 mg","Chemotherapy","Topoisomerase I Inhibitor","Campothecin Analogs","No","1996","","01/01/2011 00:00:00","","In Use"
"C9480","Trabectedin","Yondelis","0.1 mg","Chemotherapy","Alkylating Agent","Natural Product","No","2015","","07/01/2016 00:00:00","","In Use"
"NA","Trametinib","Mekinist","0.5 mg","Chemotherapy","MEK Inhibitor","BRAF","Yes","2013","","","","In Use"
"NA","Trametinib","Mekinist","2 mg","Chemotherapy","MEK Inhibitor","BRAF","Yes","2013","","","","In Use"
"NA","Trifluridine and Tipiracil","Lonsurf","15/6.14 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","Yes","2015","","","","In Use"
"NA","Trifluridine and Tipiracil","Lonsurf","20/ 8.19 mg","Chemotherapy","Antimetabolite","Pyrimidine Analog","Yes","2015","","","","In Use"
"J3305","Trimetrexate Glucuronate","Trimetrexate Glucuronate","per 25 mg","Chemotherapy","Antimetabolite","Folic Acid Antagonist","No","1993","2007","01/01/1996 00:00:00","","In Use"
"J9357","Valrubicin","Valstar","200 mg","Chemotherapy","Antitumor Antibiotic","Anthracycline","No","1998","","01/01/2000 00:00:00","","In Use"
"NA","Vandetanib","Caprelsa","100 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, EGFR","Yes","2011","","","","In Use"
"NA","Vandetanib","Caprelsa","300 mg","Chemotherapy","Tyrosine Kinase Inhibitor","VEGFR, EGFR","Yes","2011","","","","In Use"
"NA","Vemurafenib","Zelboraf","240 mg","Chemotherapy","Enzyme Inhibitor","BRAF","Yes","2011","","","","In Use"
"NA","venetoclax","Venclexta","10 mg","Chemotherapy","Enzyme Inhibitor","BCL-2","Yes","2016","","","","In Use"
"NA","venetoclax","Venclexta","50 mg","Chemotherapy","Enzyme Inhibitor","BCL-2","Yes","2016","","","","In Use"
"NA","venetoclax","Venclexta","100 mg","Chemotherapy","Enzyme Inhibitor","BCL-2","Yes","2016","","","","In Use"
"J9360","Vinblastine","Oncovin, Vincasar PFS","1 mg","Chemotherapy","Antimitotic Agent","Vinca Alkaloid","No","1965","","01/01/1986 00:00:00","","In Use"
"J9370","Vincristine","Oncovin, Vincasar PFS","1 mg","Chemotherapy","Antimitotic Agent","Vinca Alkaloid","No","1963","","01/01/1986 00:00:00","","In Use"
"J9375","Vincristine","Oncovin, Vincasar PFS","2 mg","Chemotherapy","Antimitotic Agent","Vinca Alkaloid","No","1963","","01/01/1988 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9380","Vincristine","Oncovin, Vincasar PFS","5 mg","Chemotherapy","Antimitotic Agent","Vinca Alkaloid","No","1963","","01/01/1994 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9371","Vincristine","Oncovin, Vincasar PFS","1 mg","Chemotherapy","Antimitotic Agent","Vinca Alkaloid","No","1963","","01/01/2014 00:00:00","","In Use"
"C9440","Vinorelbine","Navelbine","10 mg","Chemotherapy","Antimitotic Agent","Vinca Alkaloid","No","1994","","01/01/2005 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9390","Vinorelbine","Navelbine","10 mg","Chemotherapy","Antimitotic Agent","Vinca Alkaloid","No","1994","","01/01/1996 00:00:00","","In Use"
"NA","Vismodegib","Vismodegib","150 mg","Chemotherapy","Hedgehog Pathway Inhibitor","SMO","Yes","2012","","","","In Use"
"NA","Vorinostat","Erivedge","100 mg","Chemotherapy","Enzyme Inhibitor","HDAC","Yes","2006","","","","In Use"
"C9296","Ziv-aflibercept","Zaltrap","1 mg","Chemotherapy","Recombinant Fusion Protein","VEGF-IgG1","No","2012","","01/01/2013 00:00:00","12/31/2013 00:00:00","No Longer Used"
"J9400","Ziv-aflibercept","Zaltrap","1 mg","Chemotherapy","Recombinant Fusion Protein","VEGF-IgG1","No","2012","","01/01/2014 00:00:00","","In Use"
"J8999","Chemotherapy - non specific","Prescription drug, oral, chemotherapeutic NOS","NA","Chemotherapy","","","Yes","","","","","In Use"
"J9999","Chemotherapy - non specific","Not otherwise classified, antineoplastic drugs","NA","Chemotherapy","","","No","","","","","In Use"
"Q2041","Axicabtagene Ciloleucel","Yescarta","Up to 200 million","Immunotherapy","CAR-T","CD19","No","2017","","01/01/2019 00:00:00","","In Use"
"J9354","Ado-Trastuzumab Emtansine","Kadcyla","1mg","Immunotherapy","Drug Antibody Conjugate","HER2","No","2013","","01/01/2014 00:00:00","","In Use"
"C9131","Ado-Trastuzumab Emtansine","Kadcyla","1mg","Immunotherapy","Drug Antibody Conjugate","HER2","No","2013","","07/01/2013 00:00:00","12/31/2013 00:00:00","No Longer Used"
"J9015","Aldesleukin","Proleukin","Per single vial (1 vial = 22 million IU)","Immunotherapy","Cytokine","Interleukin-2","No","1992","","10/01/1996 00:00:00","","In Use"
"J0202","Alemtuzumab","Lemtrada","1 mg","Immunotherapy","Monoclonal Antibody","CD52","No","2001","","01/01/2016 00:00:00","","In Use"
"Q9979","Alemtuzumab","Lemtrada","1 mg","Immunotherapy","Monoclonal Antibody","CD52","No","2001","","10/01/2015 00:00:00","12/31/2015 00:00:00","No Longer Used"
"J9010","Alemtuzumab","Campath","10 mg","Immunotherapy","Monoclonal Antibody","CD52","No","2001","2012","01/01/2003 00:00:00","12/31/2015 00:00:00","No Longer Used"
"S0087","Alemtuzumab","Campath","30 mg","Immunotherapy","Monoclonal Antibody","CD52","No","2001","2012","01/01/2002 00:00:00","12/31/2002 00:00:00","No Longer Used"
"C9110","Alemtuzumab","Lemtrada","10 mg","Immunotherapy","Monoclonal Antibody","CD52","No","2001","","01/01/2001 00:00:00","12/31/2007 00:00:00","No Longer Used"
"C9491","Avelumab","Bavencio","10 mg","Immunotherapy","Checkpoint Inhibitor","PD-1","No","2017","","10/01/2017 00:00:00","","In Use"
"C9483","Atezolizumab","Tecentriq","10 mg","Immunotherapy","Checkpoint Inhibitor","PD-1","No","2016","","10/01/2016 00:00:00","","In Use"
"J9031","Bacillus calmette-guerin substrain nice live antigen","Theracys, BCG Vaccine","Per instillation","Immunotherapy","Biological Response Modifier","Live Vaccine","No","1990","","01/01/1991 00:00:00","07/01/2019 00:00:00","No Longer Used"
"C9416","BCG","BCG, Intravesical","Per instillation","Immunotherapy","Biological Response Modifier","Live Vaccine","No","1990","","01/01/2004 00:00:00","12/31/2003 00:00:00","No Longer Used"
"Q2024","Bevacizumab","Avastin","0.25 mg","Immunotherapy","Monoclonal Antibody","VEGFR","No","2004","","10/01/2009 00:00:00","12/31/2009 00:00:00","No Longer Used"
"C9257","Bevacizumab","Avastin","0.25 mg","Immunotherapy","Monoclonal Antibody","VEGFR","No","2004","","01/01/2010 00:00:00","","In Use"
"C9214","Bevacizumab","Avastin","10 mg","Immunotherapy","Monoclonal Antibody","VEGFR","No","2004","","02/26/2004 00:00:00","12/31/2004 00:00:00","No Longer Used"
"J9035","Bevacizumab","Avastin","10 mg","Immunotherapy","Monoclonal Antibody","VEGFR","No","2004","","01/01/2005 00:00:00","","In Use"
"S0116","Bevacizumab","Avastin","100 mg","Immunotherapy","Monoclonal Antibody","VEGFR","No","2004","","07/01/2004 00:00:00","06/30/2006 00:00:00","No Longer Used"
"C9449","Blinatumomab","Blincyto","1 mcg","Immunotherapy","Monoclonal Antibody","CD3 (T cells) and CD19 (B cells)","No","2014","","04/01/2015 00:00:00","","In Use"
"J9039","Blinatumomab","Blincyto","1 mcg","Immunotherapy","Monoclonal Antibody","CD3 (T cells) and CD19 (B cells)","No","2014","","01/01/2016 00:00:00","","In Use"
"C9287","Brentuximab vedotin","Adcetris","1 mg","Immunotherapy","Drug Antibody Conjugate","CD30","No","2011","","01/01/2012 00:00:00","12/31/2012 00:00:00","No Longer Used"
"J9042","Brentuximab vedotin","Adcetris","1 mg","Immunotherapy","Drug Antibody Conjugate","CD30","No","2011","","01/01/2013 00:00:00","","In Use"
"C9215","Cetuximab","Erbitux","10 mg","Immunotherapy","Monoclonal Antibody","EGFR","No","2004","","02/12/2004 00:00:00","12/31/2004 00:00:00","No Longer Used"
"J9055","Cetuximab","Erbitux","10 mg","Immunotherapy","Monoclonal Antibody","EGFR","No","2004","","01/01/2005 00:00:00","","In Use"
"J9415","Daratumumab","Darzalex","10 mg","Immunotherapy","Monoclonal Antibody","CD38","No","2015","","01/01/2017 00:00:00","","In Use"
"C9476","Daratumumab","Darzalex","10 mg","Immunotherapy","Monoclonal Antibody","CD38","No","2015","","07/01/2016 00:00:00","","In Use"
"J9160","Denileukin Diftitox","Ontak","300 mcg","Immunotherapy","Cytokine","Interleukin-2","No","1999","","01/01/2001 00:00:00","","In Use"
"J0897","Denosumab","Prolia","1 mg","Immunotherapy","Monoclonal Antibody","RANKL","No","2010","","10/01/2012 00:00:00","","In Use"
"NA","Dinutuximab","Unituxin","3.5 mg/mL","Immunotherapy","Monoclonal Antibody","GD-2","No","2015","","","","In Use"
"C9492","Durvalumab","Imfinzi","10 mg","Immunotherapy","Checkpoint Inhibitor","PD-L1","No","2017","","10/01/2017 00:00:00","","In Use"
"C9477","Elotuzumab","Empliciti","1 mg","Immunotherapy","Monoclonal Antibody","SLAMF7","No","2015","","07/01/2016 00:00:00","12/31/2016 00:00:00","No Longer Used"
"J9176","Elotuzumab","Empliciti","1 mg","Immunotherapy","Monoclonal Antibody","SLAMF7","No","2015","","01/01/2017 00:00:00","","In Use"
"C9004","Gemtuzumab ozogamicin","Mylotarg","5 mg","Immunotherapy","Drug Antibody Conjugate","CD33","No","2000","","01/01/2004 00:00:00","12/31/2005 00:00:00","No Longer Used"
"J9300","Gemtuzumab ozogamicin","Mylotarg","5 mg","Immunotherapy","Drug Antibody Conjugate","CD33","No","2000","","01/01/2002 00:00:00","","In Use"
"J9203","Gemtuzumab ozogamicin","Mylotarg","0.1 mg","Immunotherapy","Drug Antibody Conjugate","CD33","No","2000","","01/01/2018 00:00:00","","In Use"
"C9117","Ibritumomab tiuxetan","Zevalin","Per MCI","Immunotherapy","Radioimmunotherapy","CD20","No","2002","","10/01/2002 00:00:00","12/31/2002 00:00:00","No Longer Used"
"C9118","Ibritumomab tiuxetan","Zevalin","Per MCI","Immunotherapy","Radioimmunotherapy","CD20","No","2002","","10/01/2002 00:00:00","12/31/2002 00:00:00","No Longer Used"
"NA","Imiquimod","Aldara","5%","Immunotherapy","Immunomodulator","Retinoic Acid Derivative","No","1997","","","","In Use"
"J9213","Interferon Alfa-2a","Roeferon- A","3 million units","Immunotherapy","Cytokine","Interferon","No","2002","","01/01/2009 00:00:00","","In Use"
"J9214","Interferon Alfa-2b","Intron A","1 million units","Immunotherapy","Cytokine","Interferon","No","1986","","01/01/1993 00:00:00","","In Use"
"J9216","Interferon Gamma-1b","Actimmune","3 million units","Immunotherapy","Cytokine","Interferon","No","1999","","01/01/2009 00:00:00","","In Use"
"Not yet assigned","Inotuzumab Ozogamicin","Besponsa","0.9 mg","Immunotherapy","Drug Antibody Conjugate","CD22","No","2017","","","","In Use"
"J9228","Ipilimumab","Yervoy","1mg","Immunotherapy","Checkpoint Inhibitor","CTLA-4","No","2011","","01/01/2012 00:00:00","","In Use"
"C9284","Ipilimumab","Yervoy","1mg","Immunotherapy","Checkpoint Inhibitor","CTLA-4","No","2011","","07/01/2011 00:00:00","12/31/2011 00:00:00","No Longer Used"
"NA","Lenalidomide","Revlimid","5 mg","Immunotherapy","Immunomodulator","Thalidomide Analog","Yes","2005","","","","In Use"
"NA","Lenalidomide","Revlimid","10 mg","Immunotherapy","Immunomodulator","Thalidomide Analog","Yes","2005","","","","In Use"
"S0177","Levamisole","Ergamisol","50 mg","Immunotherapy","Antiinfective Agent","antihelminitic","Yes","1990","2000","01/01/2002 00:00:00","","In Use"
"C9475","Necitumumab","Portrazza","1 mg","Immunotherapy","Monoclonal Antibody","EGFR","No","2015","","04/01/2016 00:00:00","","In Use"
"J9295","Necitumumab","Portrazza","1 mg","Immunotherapy","Monoclonal Antibody","EGFR","No","2015","","01/01/2017 00:00:00","","In Use"
"J9299","Nivolumab","Opdivo","1 mg","Immunotherapy","Checkpoint Inhibitor","PD-1","No","2014","","01/01/2016 00:00:00","","In Use"
"C9453","Nivolumab","Opdivo","1 mg","Immunotherapy","Checkpoint Inhibitor","PD-1","No","2014","","07/01/2015 00:00:00","","In Use"
"C9021","Obinutuzumab","Gazyva","10 mg","Immunotherapy","Monoclonal Antibody","CD20","No","2013","","04/04/2014 00:00:00","12/31/2014 00:00:00","No Longer Used"
"J9301","Obinutuzumab","Gazyva","10 mg","Immunotherapy","Monoclonal Antibody","CD20","No","2013","","01/01/2015 00:00:00","","In Use"
"C9260","Ofatumumab","Arzerra","10mg","Immunotherapy","Monoclonal Antibody","CD20","No","2009","","04/01/2010 00:00:00","12/31/2010 00:00:00","No Longer Used"
"J9302","Ofatumumab","Arzerra","10mg","Immunotherapy","Monoclonal Antibody","CD20","No","2009","","01/01/2011 00:00:00","","In Use"
"J9285","Olaratumab","Lartruvo","10 mg","Immunotherapy","Monoclonal Antibody","PDGFR","No","2016","","04/01/2017 00:00:00","","In Use"
"C9235","Panitumumab","Vectibix","10mg","Immunotherapy","Monoclonal Antibody","EGFR","No","2006","","01/01/2007 00:00:00","12/31/2007 00:00:00","No Longer Used"
"J9303","Panitumumab","Vectibix","10mg","Immunotherapy","Monoclonal Antibody","EGFR","No","2006","","01/01/2008 00:00:00","","In Use"
"S0145","Pegintereferon Alfa-2a","Pegasys","180 mcg/mL","Immunotherapy","Cytokine","Interferon","No","2002","","07/01/2005 00:00:00","","In Use"
"S0146","Peginterferon Alfa-2b","Pegintron, Sylatron","20 mcg/mL","Immunotherapy","Cytokine","Interferon","No","2001","","07/01/2005 00:00:00","09/30/2010 00:00:00","No Longer Used"
"C9027","Pembrolizumab","Keytruda","1 mg","Immunotherapy","Checkpoint Inhibitor","PD-1","No","2014","","01/01/2015 00:00:00","12/31/2015 00:00:00","No Longer Used"
"J9271","Pembrolizumab","Keytruda","1 mg","Immunotherapy","Checkpoint Inhibitor","PD-1","No","2014","","01/01/2016 00:00:00","","In Use"
"C9292","Pertuzumab","Perjeta","10 mg","Immunotherapy","Monoclonal Antibody","HER2","No","2012","","10/01/2012 00:00:00","12/31/2013 00:00:00","No Longer Used"
"J9306","Pertuzumab","Perjeta","1 mg","Immunotherapy","Monoclonal Antibody","HER2","No","2012","","01/01/2014 00:00:00","","In Use"
"NA","Pomalidomide","Pomalyst","1 mg","Immunotherapy","Immunomodulator","Thalidomide Analog","Yes","2013","","","","In Use"
"NA","Pomalidomide","Pomalyst","2 mg","Immunotherapy","Immunomodulator","Thalidomide Analog","Yes","2013","","","","In Use"
"NA","Pomalidomide","Pomalyst","3 mg","Immunotherapy","Immunomodulator","Thalidomide Analog","Yes","2013","","","","In Use"
